1039,1
1299,1
1400,4
1498,1
1500,9
1508,1
1514,1
1540,2
1550,4
1600,6
1675,1
1700,4
1800,24
1805,2
1810,2
1816,1
1817,3
1819,1
1830,4
1850,72
1860,3
1864,1
1866,2
1868,1
1870,8
1871,1
1875,1
1878,1
1880,9
1881,1
1882,1
1883,1
1884,1
1885,4
1886,2
1887,1
1888,2
1889,3
1890,21
1891,1
1893,1
1895,1
1897,1
1898,2
1900,1231
1902,5
1904,1
1905,3
1906,1
1907,2
1908,2
1909,2
1910,831
1912,4
1914,1
1915,10
1916,3
1918,3
1919,1
1920,176
1922,1
1923,1
1925,25
1926,5
1927,12
1928,4
1929,8
1930,270
1931,7
1932,6
1933,2
1934,7
1935,39
1936,54
1937,28
1938,7
1939,24
1940,549
1941,8
1942,32
1943,10
1944,11
1945,170
1946,54
1947,19
1948,57
1949,35
1950,739
1951,20
1952,36
1953,28
1954,79
1955,200
1956,51
1957,28
1958,103
1959,106
1960,944
1961,240
1962,192
1963,178
1964,122
1965,671
1966,122
1967,517
1968,249
1969,167
1970,955
1971,103
1972,583
1973,166
1974,178
1975,462
1976,153
1977,116
1978,171
1979,148
1980,579
1981,106
1982,128
1983,227
1984,232
1985,225
1986,105
1987,83
1988,96
1989,106
1990,432
1991,137
1992,243
1993,212
1994,224
1995,399
1996,431
1997,394
1998,317
1999,211
2000,896
2001,209
2002,264
2003,162
2004,319
2005,266
2006,150
2007,302
2008,188
2009,144
2010,141
2011,108
2012,102
2013,172
2014,52
2015,47
2016,32
2017,2
